RL;Jugador;Posc;Equipo;Comp;PJ;Titular;Mín;npxG+xAG;G+A-TP;xG+xAG;Rendimiento;;
14;Christian Acella;CC;Cremonese;it Serie A;1;0;15;0;0;0;0;;
71;Alejandro Alfaro;CC;Elche;es La Liga;1;0;15;0;0;0;0;;
77;Dele Alli;CC;Everton;eng Premier League;2;0;40;0;0;0;0;;
732;Sofiane Diop;CC;Monaco;fr Ligue 1;1;1;65;1.38;1.51;1.51;68;;
507;Nathaniel Chalobah;CC;Fulham;eng Premier League;4;1;12;0;0.71;0.71;118;;
1752;Juan Miranda;DF;Torino;it Serie A;16;12;1105;0.22;0.31;0.31;9;;
2236;Mário Rui;DF;Betis;es La Liga;21;20;1674;0.24;0.32;0.32;10;;
1661;Chrislain Matsima;DF;Monaco;fr Ligue 1;4;2;136;0.66;0.24;0.24;17;;
176;Loïc Bade;DF;Rennes;fr Ligue 1;1;1;90;1;0.26;0.26;17;;
1451;Julien Le Cardinal;DF;Lens;fr Ligue 1;6;2;148;0;0.74;0.74;20;;
2481;Sam Surridge;DL;Nott'ham Forest;eng Premier League;18;1;311;0.29;0.53;0.53;4;;
126;Taïryk Arconte;DL;Brest;fr Ligue 1;4;1;128;0;0.29;0.29;5;;
1274;Willian José;DL;Betis;es La Liga;24;3;519;0;0.46;0.33;5;;
1101;Erling Haaland;DL;Manchester City;eng Premier League;29;28;2315;1.32;1.1;0.93;41;;
1703;Memphis;DL;Barcelona;es La Liga;2;2;114;0.79;0.79;0.79;42;;
468;Marco Carnesecchi;PO;Cremonese;it Serie A;22;22;1980;0.05;0.01;0.01;1;;
2118;Ionuț Radu;PO;Cremonese;it Serie A;9;9;810;0;0.04;0.04;1;;
1521;Pau López;PO;Marseille;fr Ligue 1;27;27;2430;0.07;0.02;0.02;1;;
2505;Ciprian Tătărușanu;PO;Milan;it Serie A;16;16;1440;0.06;0.03;0.03;1;;
2454;Jason Steele;PO;Brighton;eng Premier League;8;8;720;0.12;0.01;0.01;2;;
274;Wissam Ben Yedder;DL;Monaco;fr Ligue 1;28;24;1802;14.2;0.95;0.9;0.21;;
2204;Rodrygo;DL;Real Madrid;es La Liga;29;21;1984;18.1;0.59;0.86;0.21;;
1859;Neymar;CCDL;Paris S-G;fr Ligue 1;20;18;1545;15.3;1.28;0.98;0.2;;
1887;Darwin Núñez;DL;Liverpool;eng Premier League;26;17;1531;16.7;0.71;0.98;0.2;;
2699;Ollie Watkins;DL;Aston Villa;eng Premier League;32;31;2682;16.3;0.64;0.57;0.2;;
2805;Martin Ødegaard;CC;Arsenal;eng Premier League;32;32;2718;16;0.63;0.53;0.2;;
2137;Raphinha;DL;Barcelona;es La Liga;30;20;1762;16.1;0.66;0.82;0.2;;
407;Rémy Cabella;CCDL;Lille;fr Ligue 1;27;24;2143;16.4;0.67;0.69;0.2;;
2262;Bukayo Saka;DL;Arsenal;eng Premier League;33;32;2783;15.9;0.71;0.58;0.2;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
14;Christian Acella;CC;Cremonese;it Serie A;1;0;15;0;0;0;0;;
71;Alejandro Alfaro;CC;Elche;es La Liga;1;0;15;0;0;0;0;;
77;Dele Alli;CC;Everton;eng Premier League;2;0;40;0;0;0;0;;
732;Sofiane Diop;CC;Monaco;fr Ligue 1;1;1;65;1.38;1.51;1.51;68;;
507;Nathaniel Chalobah;CC;Fulham;eng Premier League;4;1;12;0;0.71;0.71;118;;
1752;Juan Miranda;DF;Torino;it Serie A;16;12;1105;0.22;0.31;0.31;9;;
2236;Mário Rui;DF;Betis;es La Liga;21;20;1674;0.24;0.32;0.32;10;;
1661;Chrislain Matsima;DF;Monaco;fr Ligue 1;4;2;136;0.66;0.24;0.24;17;;
176;Loïc Bade;DF;Rennes;fr Ligue 1;1;1;90;1;0.26;0.26;17;;
1451;Julien Le Cardinal;DF;Lens;fr Ligue 1;6;2;148;0;0.74;0.74;20;;
2481;Sam Surridge;DL;Nott'ham Forest;eng Premier League;18;1;311;0.29;0.53;0.53;4;;
126;Taïryk Arconte;DL;Brest;fr Ligue 1;4;1;128;0;0.29;0.29;5;;
1274;Willian José;DL;Betis;es La Liga;24;3;519;0;0.46;0.33;5;;
1101;Erling Haaland;DL;Manchester City;eng Premier League;29;28;2315;1.32;1.1;0.93;41;;
1703;Memphis;DL;Barcelona;es La Liga;2;2;114;0.79;0.79;0.79;42;;
468;Marco Carnesecchi;PO;Cremonese;it Serie A;22;22;1980;0.05;0.01;0.01;1;;
2118;Ionuț Radu;PO;Cremonese;it Serie A;9;9;810;0;0.04;0.04;1;;
1521;Pau López;PO;Marseille;fr Ligue 1;27;27;2430;0.07;0.02;0.02;1;;
2505;Ciprian Tătărușanu;PO;Milan;it Serie A;16;16;1440;0.06;0.03;0.03;1;;
2454;Jason Steele;PO;Brighton;eng Premier League;8;8;720;0.12;0.01;0.01;2;;
